card_id,card_type,category,text,multiplier,image_file
TAR_028,target,Absent,A mutual friend who is NOT in this room tonight.,2,specs/roast_and_boast_us_base/cards/targets/TAR_028.png
TAR_029,target,Absent,A mutual friend who is NOT in this room tonight.,2,specs/roast_and_boast_us_base/cards/targets/TAR_029.png
TAR_030,target,Absent,A mutual friend who is NOT in this room tonight.,2,specs/roast_and_boast_us_base/cards/targets/TAR_030.png
BLANK_TRAIT_001,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_001.png
BLANK_TRAIT_002,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_002.png
BLANK_TRAIT_003,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_003.png
BLANK_TRAIT_004,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_004.png
BLANK_TRAIT_005,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_005.png
BLANK_TRAIT_006,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_006.png
BLANK_TRAIT_007,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_007.png
BLANK_TRAIT_008,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_008.png
BLANK_TRAIT_009,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_009.png
BLANK_TRAIT_010,blank_trait,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TRAIT_010.png
BLANK_TARGET_001,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_001.png
BLANK_TARGET_002,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_002.png
BLANK_TARGET_003,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_003.png
BLANK_TARGET_004,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_004.png
BLANK_TARGET_005,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_005.png
BLANK_TARGET_006,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_006.png
BLANK_TARGET_007,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_007.png
BLANK_TARGET_008,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_008.png
BLANK_TARGET_009,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_009.png
BLANK_TARGET_010,blank_target,,,,specs/roast_and_boast_us_base/cards/blanks/BLANK_TARGET_010.png
